myrwar	  3.600764	169956	Setophaga_coronata_coronata
brebla	  3.567544	168388	Euphagus_cyanocephalus
norpar	  3.531908	166706	Setophaga_americana
grtgra	  3.501273	165260	Quiscalus_mexicanus
commer	  3.484535	164470	Mergus_merganser
robgro	  3.481124	164309	Pheucticus_ludovicianus
wesmea	  3.463985	163500	Sturnella_neglecta
ovenbi1	  3.454641	163059	Seiurus_aurocapilla
lessca	  3.413116	161099	Aythya_affinis
cliswa	  3.406548	160789	Petrochelidon_pyrrhonota
comloo	  3.386463	159841	Gavia_immer
woothr	  3.374514	159277	Hylocichla_mustelina
brnpel	  3.345086	157888	Pelecanus_occidentalis
bushti	  3.329451	157150	Psaltriparus_minimus
slcjun	  3.328518	157106	Junco_hyemalis_hyemalis/carolinensis
purfin	  3.324811	156931	Haemorhous_purpureus
shshaw	  3.322883	156840	Accipiter_striatus
stejay	  3.316379	156533	Cyanocitta_stelleri
wiltur	  3.242840	153062	Meleagris_gallopavo
forter	  3.176378	149925	Sterna_forsteri
purmar	  3.142628	148332	Progne_subis
amtspa	  3.140806	148246	Spizella_arborea
norpin	  3.111950	146884	Anas_acuta
bcnher	  3.069662	144888	Nycticorax_nycticorax
comgol	  3.066103	144720	Bucephala_clangula
rebmer	  2.980997	140703	Mergus_serrator
logshr	  2.976251	140479	Lanius_ludovicianus
horlar	  2.976103	140472	Eremophila_alpestris
whwdov	  2.956400	139542	Zenaida_asiatica
marwre	  2.941633	138845	Cistothorus_palustris
caltow	  2.921527	137896	Melozone_crissalis
yesfli	  2.909154	137312	Colaptes_auratus_[auratus_Group]
scatan	  2.877183	135803	Piranga_olivacea
libher	  2.830277	133589	Egretta_caerulea
palwar	  2.810425	132652	Setophaga_palmarum
lesyel	  2.802162	132262	Tringa_flavipes
whiibi	  2.670891	126066	Eudocimus_albus
btnwar	  2.651060	125130	Setophaga_virens
willet1	  2.595806	122522	Tringa_semipalmata
calgul	  2.550255	120372	Larus_californicus
linspa	  2.537501	119770	Melospiza_lincolnii
mutswa	  2.530446	119437	Cygnus_olor
amwpel	  2.521230	119002	Pelecanus_erythrorhynchos
audwar	  2.510171	118480	Setophaga_coronata_auduboni
wlswar	  2.500891	118042	Cardellina_pusilla
bkbplo	  2.465764	116384	Pluvialis_squatarola
chbchi	  2.441908	115258	Poecile_rufescens
sancra	  2.372755	111994	Grus_canadensis
magwar	  2.336738	110294	Setophaga_magnolia
weskin	  2.311738	109114	Tyrannus_verticalis
wesgul	  2.295848	108364	Larus_occidentalis
caster1	  2.285531	107877	Hydroprogne_caspia
saypho	  2.266463	106977	Sayornis_saya
orejun	  2.257480	106553	Junco_hyemalis_[oreganus_Group]
semplo	  2.242098	105827	Charadrius_semipalmatus
rehwoo	  2.217120	104648	Melanerpes_erythrocephalus
yebcuc	  2.192014	103463	Coccyzus_americanus
grhowl	  2.186399	103198	Bubo_virginianus
swathr	  2.176484	102730	Catharus_ustulatus
sander	  2.157607	101839	Calidris_alba
calqua	  2.152988	101621	Callipepla_californica
chswar	  2.150785	101517	Setophaga_pensylvanica
vigswa	  2.148158	101393	Tachycineta_thalassina
naswar	  2.145870	101285	Oreothlypis_ruficapilla
bknsti	  2.139831	101000	Himantopus_mexicanus
wilsni1	  2.131357	100600	Gallinago_delicata
botgra	  2.122120	100164	Quiscalus_major
horgre	  2.110997	99639	Podiceps_auritus
comgal1	  2.075297	97954	Gallinula_galeata
bkhgro	  2.075064	97943	Pheucticus_melanocephalus
redhea	  2.072670	97830	Aythya_americana
bkbmag1	  2.067353	97579	Pica_hudsonia
resfli	  2.041802	96373	Colaptes_auratus_[cafer_Group]
amepip	  2.039471	96263	Anthus_rubescens
buhvir	  2.034641	96035	Vireo_solitarius
gocspa	  2.010170	94880	Zonotrichia_atricapilla
orcori	  2.003708	94575	Icterus_spurius
triher	  1.998539	94331	Egretta_tricolor
acowoo	  1.987162	93794	Melanerpes_formicivorus
categr	  1.978306	93376	Bubulcus_ibis
foxspa	  1.971124	93037	Passerella_iliaca
sumtan	  1.926569	90934	Piranga_rubra
bongul	  1.908306	90072	Chroicocephalus_philadelphia
wesgre	  1.870001	88264	Aechmophorus_occidentalis
dunlin	  1.848348	87242	Calidris_alpina
blugrb1	  1.845403	87103	Passerina_caerulea
wesblu	  1.832882	86512	Sialia_mexicana
perfal	  1.764047	83263	Falco_peregrinus
ameavo	  1.731950	81748	Recurvirostra_americana
nutwoo	  1.731738	81738	Picoides_nuttallii
