SCI_NAME,TAXON_ORDER,PRIMARY_COM_NAME,CATEGORY,ORDER_NAME,FAMILY_NAME,SUBFAMILY_NAME,GENUS_NAME,SPECIES_NAME
Terenotriccus_erythrurus,14418,Ruddy-tailed_Flycatcher,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),?,Terenotriccus,erythrurus
Terenura_callinota,13227,Rufous-rumped_Antwren,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Terenura,callinota
Terenura_humeralis,13232,Chestnut-shouldered_Antwren,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Terenura,humeralis
Terenura_maculata,13226,Streak-capped_Antwren,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Terenura,maculata
Terenura_sharpei,13233,Yellow-rumped_Antwren,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Terenura,sharpei
Terenura_sicki,13225,Orange-bellied_Antwren,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Terenura,sicki
Terenura_spodioptila,13234,Ash-winged_Antwren,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Terenura,spodioptila
Teretistris_fernandinae,28145,Yellow-headed_Warbler,species,Passeriformes,Parulidae (New World Warblers),?,Teretistris,fernandinae
Teretistris_fornsi,28146,Oriente_Warbler,species,Passeriformes,Parulidae (New World Warblers),?,Teretistris,fornsi
Tersina_viridis,28709,Swallow_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Tersina,viridis
Tetraogallus_himalayensis,972,Himalayan_Snowcock,species,Galliformes,Phasianidae (Pheasants- Grouse- and Allies),?,Tetraogallus,himalayensis
Thalassarche_bulleri,1685,Buller's_Albatross,species,Procellariiformes,Diomedeidae (Albatrosses),?,Thalassarche,bulleri
Thalassarche_cauta,1686,White-capped_Albatross,species,Procellariiformes,Diomedeidae (Albatrosses),?,Thalassarche,cauta
Thalassarche_cauta/salvini/eremita,1691,White-capped/Salvin's/Chatham_Albatross,spuh,Procellariiformes,Diomedeidae (Albatrosses),?,?,?
Thalassarche_chlororhynchos,1681,Yellow-nosed_Albatross,species,Procellariiformes,Diomedeidae (Albatrosses),?,Thalassarche,chlororhynchos
Thalassarche_chlororhynchos_bassi,1683,Yellow-nosed_Albatross_(Indian),issf,Procellariiformes,Diomedeidae (Albatrosses),?,?,?
Thalassarche_chlororhynchos_chlororhynchos,1682,Yellow-nosed_Albatross_(Atlantic),issf,Procellariiformes,Diomedeidae (Albatrosses),?,?,?
Thalassarche_chrysostoma,1684,Gray-headed_Albatross,species,Procellariiformes,Diomedeidae (Albatrosses),?,Thalassarche,chrysostoma
Thalassarche_eremita,1690,Chatham_Albatross,species,Procellariiformes,Diomedeidae (Albatrosses),?,Thalassarche,eremita
Thalassarche_melanophris,1692,Black-browed_Albatross,species,Procellariiformes,Diomedeidae (Albatrosses),?,Thalassarche,melanophris
Thalassarche_melanophris_melanophris,1693,Black-browed_Albatross_(Black-browed),issf,Procellariiformes,Diomedeidae (Albatrosses),?,?,?
Thalassarche_salvini,1689,Salvin's_Albatross,species,Procellariiformes,Diomedeidae (Albatrosses),?,Thalassarche,salvini
Thalassarche_sp.,1695,small_albatross_sp.,spuh,Procellariiformes,Diomedeidae (Albatrosses),?,?,?
Thalasseus_bergii,4518,Great_Crested_Tern,species,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,Thalasseus,bergii
Thalasseus_elegans,4530,Elegant_Tern,species,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,Thalasseus,elegans
Thalasseus_maximus,4515,Royal_Tern,species,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,Thalasseus,maximus
Thalasseus_maximus_maximus,4517,Royal_Tern_(American),issf,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,?,?
Thalasseus_maximus/elegans,4531,Royal/Elegant_Tern,slash,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,?,?
Thalasseus_sandvicensis,4525,Sandwich_Tern,species,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,Thalasseus,sandvicensis
Thalasseus_sandvicensis_acuflavidus,4527,Sandwich_Tern_(Cabot's),issf,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,?,?
Thalasseus_sandvicensis_eurygnathus,4528,Sandwich_Tern_(Cayenne),issf,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,?,?
Thalasseus_sandvicensis_x_elegans,4530.5,Sandwich_x_Elegant_Tern_(hybrid),hybrid,Charadriiformes,Laridae (Gulls- Terns- and Skimmers),?,?,?
Thalassoica_antarctica,1721,Antarctic_Petrel,species,Procellariiformes,Procellariidae (Shearwaters and Petrels),?,Thalassoica,antarctica
Thalurania_colombica,9066,Violet-crowned_Woodnymph,species,Apodiformes,Trochilidae (Hummingbirds),?,Thalurania,colombica
Thalurania_colombica_colombica/rostrifera,9070,Violet-crowned_Woodnymph_(Colombian),issf,Apodiformes,Trochilidae (Hummingbirds),?,?,?
Thalurania_colombica_venusta/townsendi,9068,Violet-crowned_Woodnymph_(Violet-crowned),issf,Apodiformes,Trochilidae (Hummingbirds),?,?,?
Thalurania_fannyi,9072,Green-crowned_Woodnymph,species,Apodiformes,Trochilidae (Hummingbirds),?,Thalurania,fannyi
Thalurania_fannyi_hypochlora,9076,Green-crowned_Woodnymph_(Emerald-bellied),issf,Apodiformes,Trochilidae (Hummingbirds),?,?,?
Thalurania_furcata,9078,Fork-tailed_Woodnymph,species,Apodiformes,Trochilidae (Hummingbirds),?,Thalurania,furcata
Thalurania_glaucopis,9082,Violet-capped_Woodnymph,species,Apodiformes,Trochilidae (Hummingbirds),?,Thalurania,glaucopis
Thalurania_ridgwayi,9064,Mexican_Woodnymph,species,Apodiformes,Trochilidae (Hummingbirds),?,Thalurania,ridgwayi
Thalurania_watertonii,9080,Long-tailed_Woodnymph,species,Apodiformes,Trochilidae (Hummingbirds),?,Thalurania,watertonii
Thamnistes_anabatinus,12995,Russet_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnistes,anabatinus
Thamnistes_anabatinus_[aequatorialis_Group],13001,Russet_Antshrike_(Andean),issf,Passeriformes,Thamnophilidae (Typical Antbirds),?,?,?
